8,,Fraction,Dates (Ma),Dates (Ma),Dates (Ma),Dates (Ma),Dates (Ma),Dates (Ma),Dates (Ma),Dates (Ma),Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Isotopic Ratios,Isotopic Ratios,Isotopic Ratios,Isotopic Ratios,Isotopic Ratios,Isotopic Ratios,Isotopic Ratios,Isotopic Ratios,Isotopic Ratios,Fraction, 
UPb, , , , , , , , , , , , , , , ,meas.,,meas., ,meas., ,meas., ,meas., ,meas., ,meas., ,meas., ,meas., ,meas., , , , , , , , , , , , 
, , ,206Pb/,±2?,207Pb/,±2?,207Pb/,±2?,Corr., ,mass,Th/,Pb*,Pbc,Pb*/,206Pb/, ,206Pb/, ,206Pb/, ,206Pb/, ,207Pb/, ,208Pb/, ,202Pb/, ,238U/, ,233U/, ,233U/, ,206Pb/,206Pb/, ,207Pb/, ,207Pb/, ,208Pb/ , , , 
,,Fraction  ,238U,abs,235U,abs,206Pb,abs,coef.,% disc,U(?g),U,(pg),(pg),Pbc,204Pb,±2? %,207Pb,±2? %,208Pb,±2? %,205Pb,±2? %,205Pb,±2? %,205Pb,±2? %,205Pb,±2? %,235U,±2? %,235U,±2? %,236U,±2? %,204Pb,238U,±2? %,235U,±2? %,206Pb,±2? %,232Th,±2? %,Fraction  , 
 , , ,Ma,Ma,Ma,Ma,Ma,Ma, , ,?g, ,pg,pg, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,,,a,,a,,a,,,b,,c,d,e,f,,,,,,,, , , , , , , ,  , , , ,  ,     ,g,h, ,h, ,h, ,h,, , 
a&Isotopic dates calculated using ?238 = 1.55125E-10 (Jaffey et al. 1971) and ?235 = 9.8485E-10 (Jaffey et al. 1971).,b&% discordance = 100 - (100 * (206Pb/238U date) / (207Pb/206Pb date)),c&Th contents calculated from radiogenic 208Pb and 230Th-corrected 206Pb/238U date of the sample, assuming concordance between U-Pb Th-Pb systems.,d&Total mass of radiogenic Pb.,e&Total mass of common Pb.,f&Ratio of radiogenic Pb (including 208Pb) to common Pb.,g&Measured ratio corrected for fractionation and spike contribution only.,h&Measured ratios corrected for fractionation, tracer and blank., , , , , , , , , , , ,  , , , , , , , , ,  , , , , , , , , ,  , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
true,zircon,z1      ,70.568,0.038, 70.42,0.20,  65.4,6.5,0.525, -7.95,0.00197589,0.08,20.0,0.49, 41 , 2179 , 0.73,18.993,0.10 ,25.920 ,0.13 ,0.91636,0.024,0.048250,0.099,0.035355,0.12 ,   -  ,  -  ,0.822830,0.0022,0.990881,0.0024,  -  ,  -  , 2793 ,0.0110070,0.054,0.07181, 0.30,0.04732 , 0.27,   -  ,  -  ,z1      ,true
true,zircon,z2      ,70.556,0.036, 70.74,0.14,  76.9,4.4,0.577,  8.30,0.00387144,0.31,42.0,0.66, 64 , 3278 , 0.79,19.546,0.073, 9.3267,0.048,1.59750,0.018,0.081733,0.072,0.171283,0.045,   -  ,  -  ,1.428820,0.0021,0.986632,0.0026,  -  ,  -  , 4045 ,0.0110051,0.051,0.07215, 0.21,0.047550, 0.19,   -  ,  -  ,z2      ,true
true,zircon,z3      ,70.544,0.034, 70.54,0.11,  70.5,3.3,0.565, -0.04,0.00499281,0.61,58.7,0.55,107 , 4871 , 0.77,20.103,0.071, 5.0492,0.039,2.05287,0.015,0.102120,0.070,0.40657 ,0.035,   -  ,  -  ,1.834835,0.0022,0.983064,0.0021,  -  ,  -  , 6238 ,0.0110033,0.048,0.07194, 0.16,0.047422, 0.14,   -  ,  -  ,z3      ,true
